group,snr_db,n,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95
turbid,0.0,1583,19.422407259913992,1.5904989312111262,0.07835180314460712,0.5993062372796534,0.06471687697815541,0.0031881090302053753
turbid,5.0,1583,20.323702753154976,1.9965912191332131,0.09835688606383033,0.6302481157939342,0.07414723494970331,0.0036526711477084996
turbid,10.0,1583,20.92294326524379,2.1868379253366292,0.10772889643167716,0.6477114818025373,0.07879751411469976,0.003881755085178247
turbid,15.0,1583,21.136769038096155,2.4053429235840165,0.11849297823823036,0.65263116738123,0.08138864686914672,0.004009400517384465
turbid,20.0,1583,21.118664552347614,2.2395544993992,0.11032584167467922,0.6539259059325246,0.08113996307809858,0.003997149755652346
turbid,25.0,1583,21.30637829829377,2.469996605628923,0.12167797413401453,0.6591073166924944,0.08106775067232402,0.003993592398843851
turbid,30.0,1583,21.45950062125827,2.3217375691180053,0.11437437737254613,0.6643061765898501,0.08076664945240805,0.003978759428480588
clear,0.0,2417,17.852100257494747,1.258604782617339,0.05017728096941838,0.39342742818640836,0.06358241740837109,0.0025348646907094015
clear,5.0,2417,18.664169867471767,1.489643323754101,0.05938818335394276,0.4172637945778566,0.0657618235754016,0.0026217519146417303
clear,10.0,2417,19.053427336775275,1.6191704951438124,0.0645520929161485,0.4287186339528392,0.07066488333160463,0.002817224083820391
clear,15.0,2417,19.15492439625132,1.710525070122435,0.06819416089479674,0.432238525763789,0.07312767493508537,0.0029154091439470447
clear,20.0,2417,19.223535977270075,1.6351870824759687,0.06519063236382608,0.4336753691899959,0.06986333043494378,0.002785268266185594
clear,25.0,2417,19.20554446542761,1.7103455059966821,0.06818700214272909,0.4330489799398798,0.07492477899587384,0.0029870549827638528
clear,30.0,2417,19.30057296232098,1.7139709618755723,0.06833153958672242,0.43598340047900225,0.07467541253892712,0.002977113394310214
