group,snr_db,n,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95
turbid,0.0,1583,15.880821661187062,1.3276583555685482,0.06540364415057331,0.48854217812447176,0.04868902621648764,0.0023985385482226773
turbid,5.0,1583,15.89172937112448,1.3198278342849015,0.06501789383657043,0.48912548727049376,0.04781846377814698,0.002355652548455286
turbid,10.0,1583,15.897959505540241,1.3301565998882094,0.06552671367504774,0.4878760478726988,0.047591341531984986,0.0023444639602884934
turbid,15.0,1583,15.880845039762882,1.3294485200692898,0.06549183195994944,0.4888346404194907,0.0489842535718584,0.002413082157889424
turbid,20.0,1583,15.900374802320123,1.3187133199051264,0.06496299017736491,0.48833788007930795,0.047647975316595495,0.002347253876745562
turbid,25.0,1583,15.886434468903726,1.3333321293882587,0.06568314789665283,0.4886330700681244,0.04794289208111347,0.002361782185959804
turbid,30.0,1583,15.922779136869776,1.3244043858692307,0.06524334577607187,0.48954048231291153,0.0492535229671334,0.0024263470160024625
clear,0.0,2417,15.304739239889578,0.7597394164973275,0.030288823538277245,0.32175583482701076,0.05206736518065466,0.002075789674479049
clear,5.0,2417,15.315533774521512,0.7645037241467227,0.030478764023845174,0.3220898765927265,0.05212254004609666,0.002077989352061694
clear,10.0,2417,15.303619796301541,0.7646308792379108,0.030483833364773606,0.32309707424021183,0.05244608023024716,0.0020908880530274227
clear,15.0,2417,15.317541889084929,0.7648345517630801,0.030491953255673682,0.3220184856164934,0.05244539417656385,0.0020908607018613515
clear,20.0,2417,15.32043603455966,0.7672341630638897,0.03058761948237252,0.32280758628679496,0.052071741558781554,0.002075964149229133
clear,25.0,2417,15.333895597667007,0.7697367982215293,0.030687393000797966,0.32289324937574027,0.05248530460157216,0.00209245182612602
clear,30.0,2417,15.34020191329937,0.7610990252909927,0.030343027585004574,0.3235354251700292,0.05260747939465148,0.002097322615594159
