group,snr_db,n,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95
turbid,0.0,1583,19.671690640235656,1.575040945903437,0.07759030560564428,0.6271335266281063,0.06949653437615211,0.003423566450639687
turbid,5.0,1583,20.939516345835607,2.040628947438085,0.1005262904886743,0.6668280879305046,0.07936929563523194,0.0039099224182454545
turbid,10.0,1583,21.864900282945953,2.403582149815008,0.11840623828699601,0.6912381964549187,0.08561327664515543,0.004217515942093758
turbid,15.0,1583,22.121051758810154,2.607598470730875,0.12845657299707014,0.697646795705535,0.08766624918990623,0.0043186503078774
turbid,20.0,1583,22.183479754893145,2.4366097366614436,0.12003325665975456,0.6998822385196963,0.08810595583783502,0.004340311315026683
turbid,25.0,1583,22.30446357690904,2.5937077734040255,0.1277722838340049,0.7033488732949135,0.08625348109442293,0.004249053953215282
turbid,30.0,1583,22.574409341480788,2.5140391033978884,0.12384761351413222,0.708774881655102,0.0880555861330217,0.004337829982208069
clear,0.0,2417,18.06442097824469,1.2900596154615962,0.051431302888984086,0.4061838359898361,0.06588364680095656,0.002626608688032151
clear,5.0,2417,19.161015582765287,1.5683667710235694,0.06252668130586282,0.4377057782667552,0.06930075463752378,0.002762839840484688
clear,10.0,2417,19.691954542893143,1.7521899917785742,0.06985523235216187,0.45325834557173617,0.074574505331897,0.002973090487875311
clear,15.0,2417,19.905415798545526,1.902768913209524,0.07585842013045742,0.4602468390207326,0.0782621168701146,0.0031201059154461683
clear,20.0,2417,19.952836609991515,1.7853903175221237,0.07117884250851768,0.46131383016995275,0.0739441333740829,0.00294795920657134
clear,25.0,2417,19.9570924161533,1.925833237470603,0.07677793441707188,0.46111703863506925,0.08057427451599279,0.003212285593646305
clear,30.0,2417,20.07161001908567,1.9130674471589961,0.07626899574457606,0.4639576732138242,0.08058466808700705,0.0032126999581396395
