group,snr_db,n,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95
turbid,0.0,1583,15.758109695159854,1.2901191790213693,0.06355437401695839,0.4877090479140785,0.046870715567379026,0.0023089641918751284
turbid,5.0,1583,15.764783741775677,1.3174032105821136,0.06489845104077055,0.48874243041494564,0.04727372340750045,0.0023288173274763468
turbid,10.0,1583,15.757785093460516,1.3138926968257978,0.06472551468892915,0.4877624858126035,0.04795188894334704,0.002362225393034522
turbid,15.0,1583,15.739701811452493,1.2935128591537128,0.0637215548634508,0.488114387681796,0.04811401787616564,0.002370212254250817
turbid,20.0,1583,15.756538640526527,1.2919964577881988,0.06364685328462703,0.4881492185765855,0.04763627104206895,0.0023466772960288713
turbid,25.0,1583,15.770144852971399,1.3047088947382366,0.06427309850733783,0.48865455897337867,0.047834134075386045,0.002356424504990685
turbid,30.0,1583,15.799958547157196,1.2856757650462955,0.06333548075633866,0.48884348161824503,0.04753400112064697,0.002341639233699104
clear,0.0,2417,15.212874560894727,0.7581023885300677,0.03022355951465168,0.3217453036024199,0.05146825395006108,0.002051904676611082
clear,5.0,2417,15.213729076361824,0.7636141191838057,0.03044329780061722,0.32275549547702853,0.05208938951168176,0.0020766677269553886
clear,10.0,2417,15.206779486293579,0.7743729831094242,0.030872225566952932,0.3224145673095169,0.052150345190596074,0.0020790978704522257
clear,15.0,2417,15.213574789455226,0.7610096824268718,0.030339465718676465,0.32222003908037994,0.05205056631877505,0.0020751199477910993
clear,20.0,2417,15.214068306641584,0.7548598704745992,0.030094288800155182,0.3221229872195051,0.05172915791187147,0.002062306235208826
clear,25.0,2417,15.222711707128195,0.7592244955995024,0.030268294988788136,0.3223254023983699,0.05222570548877701,0.0020821022884458555
clear,30.0,2417,15.240207951079729,0.7683689506175889,0.030632860494252484,0.3230522014308577,0.0522483091650572,0.0020830034379022352
