snr_db,video_path,psnr,ssim
0.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,18.922842025756836,0.3690755069255829
0.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,19.054080963134766,0.3650941252708435
0.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,19.027915954589844,0.35489267110824585
0.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,18.56648063659668,0.36364203691482544
5.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,21.108016967773438,0.4303806722164154
5.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,21.298431396484375,0.4412289261817932
5.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,20.998680114746094,0.435971200466156
5.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,20.7602481842041,0.43627768754959106
10.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.40029525756836,0.4706352949142456
10.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.67906951904297,0.4813026785850525
10.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,21.32474708557129,0.4508422017097473
10.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.530315399169922,0.47689008712768555
15.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.020790100097656,0.45727428793907166
15.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.599346160888672,0.48087844252586365
15.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,21.909496307373047,0.4620238244533539
15.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.442184448242188,0.4837990701198578
20.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.24329376220703,0.504670262336731
20.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.649763107299805,0.48608317971229553
20.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.10258674621582,0.5013339519500732
20.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.909404754638672,0.500223696231842
25.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.514137268066406,0.48461049795150757
25.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.35652732849121,0.4714292287826538
25.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.787010192871094,0.491447389125824
25.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.150348663330078,0.5022898316383362
30.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.190425872802734,0.4999518394470215
30.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.133296966552734,0.5055504441261292
30.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.326692581176758,0.5075283050537109
30.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.115436553955078,0.5117591619491577
0.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,17.565845489501953,0.3414820730686188
0.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,18.496177673339844,0.3444092273712158
0.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,17.977476119995117,0.34612274169921875
0.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,18.362903594970703,0.3252870440483093
5.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,20.10085105895996,0.41714316606521606
5.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,20.329185485839844,0.4082885682582855
5.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,19.644834518432617,0.404991090297699
5.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,20.13643455505371,0.39787304401397705
10.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,21.43093490600586,0.45665931701660156
10.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,20.723403930664062,0.420825719833374
10.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,20.376190185546875,0.4350092113018036
10.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,21.794660568237305,0.4655492305755615
15.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.010337829589844,0.5049223899841309
15.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.919479370117188,0.509842038154602
15.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.12999725341797,0.5127731561660767
15.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.36139678955078,0.5225110054016113
20.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.990116119384766,0.5060464143753052
20.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.84345245361328,0.5088016986846924
20.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.205699920654297,0.5238286256790161
20.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.629039764404297,0.505579948425293
25.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.532014846801758,0.49974626302719116
25.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.971698760986328,0.5111905932426453
25.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.494291305541992,0.5288610458374023
25.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,23.207660675048828,0.5259965658187866
30.0,/home/cps-tingcong/10_sec_clips/clear/coral_clip.mp4,22.972797393798828,0.5023276805877686
