snr_db,n,l2_mean,l2_std,l2_ci95,l2_norm_mean,l2_norm_std,l2_norm_ci95,token_acc_mean,token_acc_std,token_acc_ci95
0.0,500,12.588667133331299,1.7041782551492315,0.14937781023219396,0.11438396683075118,0.015484615404164176,0.001357286383846738,0.1993203125,0.04884813342559825,0.0042817276790138
5.0,500,8.185588069915772,1.9294514601621704,0.16912387726898653,0.0743764232037223,0.017531507464867844,0.0015367043836279886,0.3828203125,0.08332903144654392,0.007304111649496642
10.0,500,6.212768978118897,1.9804924274503377,0.17359781531073898,0.056450865941056715,0.017995279224615232,0.001577355770716911,0.4897265625,0.09764741161156344,0.00855917300746204
15.0,500,5.051113613843918,2.2875499734517066,0.2005125959085815,0.045895757346265297,0.020785285488579264,0.001821910602340764,0.563234375,0.11913928753273725,0.010443018991992473
20.0,500,4.893426779985428,2.807874532816191,0.24612105444456472,0.04446297297102679,0.02551309237307369,0.0022363211474070283,0.5827265625,0.13499442227809955,0.01183278282804799
25.0,500,4.77207742035389,2.835700511505564,0.2485601090162487,0.043360360519683526,0.02576592659211592,0.002258483043839035,0.5888359375,0.14146658723870242,0.012400093099937202
30.0,500,4.355724950313568,2.2071646006124155,0.19346650731242096,0.03957727160180292,0.020054882680788616,0.0017578879734370411,0.60596875,0.13232231353346624,0.01159856216963414
