snr_db,n,l2_mean,l2_std,l2_ci95,l2_norm_mean,l2_norm_std,l2_norm_ci95,token_acc_mean,token_acc_std,token_acc_ci95
0.0,500,12.411206226348877,1.9849380999881234,0.17398749568994656,0.11277150998499925,0.018035673783841927,0.0015808965099467105,0.2416796875,0.06624339734117334,0.0058064897890033815
5.0,500,7.326951564311981,2.057200630789729,0.18032158578901017,0.06657462428915636,0.018692270295511678,0.0016384497317549164,0.4607734375,0.09464629885131787,0.008296113875572034
10.0,500,4.974532621860504,2.1156802723109727,0.18544755237566996,0.04519992215147301,0.01922363182133431,0.0016850256230557191,0.5919453125,0.10336449447560857,0.009060297415408598
15.0,500,3.7737066465616227,2.4338073034798584,0.2133326161288838,0.03428889900078432,0.022114218362052362,0.0019383967046514667,0.6756484375,0.12331766385441804,0.01080926982483394
20.0,500,3.6308534123897553,2.965116366054255,0.25990390882322295,0.03299089664468767,0.02694183335470529,0.0023615558161280154,0.69684375,0.1398864712134929,0.012261589823624753
25.0,500,3.4625459187030794,2.881146508028021,0.2525436262474025,0.03146161013871195,0.026178860964258584,0.002294678337432237,0.70471875,0.14367946632323497,0.01259406050385009
30.0,500,2.977329006135464,2.1324148920512704,0.18691440647049304,0.027052800640055635,0.019375687012644534,0.0016983538482244938,0.728484375,0.12821027084377462,0.011238125735997303
