group,snr_db,n,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95
turbid,0.0,1583,22.676205794719376,1.72077265777205,0.0847694002759949,0.6971498063411882,0.07302633825071098,0.003597453080106272
turbid,5.0,1583,25.58537691541661,2.236530840430287,0.11017688896074794,0.7634757323048195,0.0747524704123064,0.0036824865024323804
turbid,10.0,1583,27.3456839262046,2.5726044135947803,0.12673268156768666,0.7923383417192773,0.0761896431453376,0.0037532850882431306
turbid,15.0,1583,28.441755135753677,3.0533543241618193,0.15041557856017515,0.8079785131911122,0.08045764081390426,0.003963536919657148
turbid,20.0,1583,28.625653067496632,3.032376070730372,0.1493821393349587,0.8101512400582856,0.08220232366775598,0.00404948419370572
turbid,25.0,1583,28.83194400356001,2.85420894252606,0.14060519803561797,0.8141171049258412,0.076018511802076,0.0037448547466339757
turbid,30.0,1583,28.906271819441812,2.731659514568828,0.13456811843350996,0.8148112277478563,0.07623854468286369,0.0037556940956096395
clear,0.0,2417,20.25078824319078,1.3901921896634708,0.05542332673897306,0.46200116948495484,0.06952952297341679,0.0027719602357235643
clear,5.0,2417,22.071721885832666,1.6676160707977656,0.06648349131450712,0.5114674762378412,0.07307100998017377,0.0029131500603943776
clear,10.0,2417,23.19589274907142,1.8131573265092855,0.07228584053591416,0.5379722441431408,0.07627990668244754,0.0030410803794711843
clear,15.0,2417,23.637399359384645,1.9892042395232588,0.07930437053047769,0.5483547404722877,0.07730208371017727,0.003081831904198604
clear,20.0,2417,23.75203458701573,1.9985716742142798,0.07967782565232824,0.550654340577017,0.07520962319282971,0.0029984109759243435
clear,25.0,2417,23.89116414598458,2.0606159648071594,0.08215136924967026,0.5543397202514448,0.0789408974009692,0.003147167119951076
clear,30.0,2417,23.90504829933883,2.028381014619024,0.08086624609189735,0.5543973627640878,0.07802105017073796,0.003110495216619935
