snr_db,n,l2_mean,l2_std,l2_ci95,l2_norm_mean,l2_norm_std,l2_norm_ci95,token_acc_mean,token_acc_std,token_acc_ci95
0.0,500,18.67911618232727,2.1656363401311793,0.18982639478622515,0.1697234014687678,0.01967754589690882,0.0017248129460297192,0.0938203125,0.03656318897162511,0.0032049048197771955
5.0,500,15.850758697509766,2.8427246713153766,0.24917580376997558,0.1440241955637769,0.025829749970253568,0.0022640774095921577,0.1678203125,0.05971734926792752,0.0052344564540479826
10.0,500,14.471105289459228,3.4302453624634994,0.30067426295089417,0.1314882989519309,0.031168118721837446,0.0027320060619582458,0.2153203125,0.08116041569907008,0.0071140240981422635
15.0,500,13.749205235481263,3.5301493544322544,0.30943123394771077,0.12492892368568838,0.03207587287742689,0.002811574221909477,0.2420625,0.08720862336236462,0.007644172874447003
20.0,500,13.511929881095886,3.521626805555337,0.3086841996014009,0.12277297691401537,0.03199843473900239,0.0028047864698000032,0.2500625,0.08985989361147709,0.007876566958193543
25.0,500,13.089651542663574,3.5968911466151616,0.3152814099707476,0.11893604398497666,0.03268230649445862,0.0028647304721372193,0.2604765625,0.09279638360295915,0.00813396165465265
30.0,500,13.264714883804322,3.627132587334123,0.31793218912440463,0.12052671591189612,0.03295708824184099,0.0028888161542492464,0.2574921875,0.09585364081564376,0.008401942064781412
