group,snr_db,n,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95
turbid,0.0,1583,19.96104675324296,1.5441911890992108,0.07607057237932696,0.6292158752886916,0.0688969386080373,0.003394028920832046
turbid,5.0,1583,21.115590139498682,2.0410073330210716,0.10054493067266256,0.6654140875072925,0.07701841663926501,0.003794112464089414
turbid,10.0,1583,21.896160300442183,2.3157062872083607,0.11407726191800491,0.6860975068879143,0.08252068030334729,0.004065167207351403
turbid,15.0,1583,22.07773846128058,2.552613236541782,0.1257478680991905,0.6911580927260526,0.08301833191889145,0.0040896827229864995
turbid,20.0,1583,22.13093135662645,2.38989161289436,0.11773180950700698,0.6922884343812079,0.08412387267100747,0.004144144319708339
turbid,25.0,1583,22.276775560722424,2.568300496293297,0.12652066024875394,0.6968146143122256,0.0829054487361124,0.004084121825873098
turbid,30.0,1583,22.45901733429765,2.4110286768616374,0.11877307212122197,0.7004585829401648,0.08332385816849466,0.004104733680956143
clear,0.0,2417,18.213902405978335,1.3084120231944556,0.05216296538700988,0.40880976026715155,0.06625701695866601,0.002641493979720002
clear,5.0,2417,19.17869164305479,1.5863914112799073,0.06324527657183197,0.4364666870163648,0.06887409743424837,0.0027458301336553085
clear,10.0,2417,19.66864719714416,1.750921608212589,0.06980466521667468,0.449926801405024,0.07340825650581112,0.002926595197348073
clear,15.0,2417,19.817331780073413,1.8012465563375342,0.07181098928020284,0.45458454797472103,0.07636827333048611,0.0030446033266172587
clear,20.0,2417,19.850854924951253,1.7371707805741228,0.06925645568219117,0.4556688870040158,0.07260962912351988,0.0028947560123198986
clear,25.0,2417,19.852859181414768,1.832811919050286,0.07306941773654925,0.456107705005398,0.07850813496569066,0.003129914013489154
clear,30.0,2417,19.981804431841105,1.8460946523972326,0.07359896557586827,0.4588505178751608,0.07869784229972876,0.0031374771487429334
