group,snr_db,n,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95
turbid,0.0,1583,19.566275868322453,1.5448388580514283,0.07610247810981895,0.6208423353491594,0.06948234454845251,0.0034228674255949304
turbid,5.0,1583,20.97164565042386,2.060610687201566,0.10151063905358837,0.6665558652153365,0.08166868763982639,0.004023195999359451
turbid,10.0,1583,21.964343880673262,2.412955048342919,0.1188679698140924,0.693330344168054,0.0872526064076671,0.004298273269446127
turbid,15.0,1583,22.256338662914438,2.6469664530924915,0.13039593450412185,0.7003172694394202,0.08842703575282888,0.004356128483966325
turbid,20.0,1583,22.32215459333216,2.475517148254709,0.12194992934289832,0.7021524602110749,0.09026281194212105,0.004446563234835004
turbid,25.0,1583,22.489730748810953,2.620321120320731,0.1290833213189839,0.7070618605056445,0.08759818474420948,0.0043152972895598605
turbid,30.0,1583,22.738822478549206,2.5323976425102503,0.12475199931051816,0.713952012496588,0.08735832518232516,0.00430348123058219
clear,0.0,2417,17.99516328938697,1.2662740689405054,0.05048303535712392,0.4040771129028236,0.06533369025383629,0.0026046833588367234
clear,5.0,2417,19.158115791396558,1.5771842822058102,0.06287821241567014,0.43806711276380494,0.06947729982052893,0.0027698782352006406
clear,10.0,2417,19.782560039168306,1.7618373624578592,0.07023984778972912,0.45590458243752396,0.07472535695963854,0.0029791045477409834
clear,15.0,2417,20.01818851720315,1.893958781917136,0.07550718323755741,0.4635270453949432,0.07951555844267763,0.0031700773527344114
clear,20.0,2417,20.084805233694574,1.8176651502478267,0.07246555567875593,0.4656039109260127,0.07494740057154908,0.0029879568458223
clear,25.0,2417,20.112529268134562,1.9588416851705857,0.0780938948976622,0.4655325034950013,0.08208531765081518,0.003272526931499179
clear,30.0,2417,20.23070308952032,1.9515758149252662,0.07780422365389927,0.46877909896538483,0.08234652726036955,0.003282940675473093
