group,snr_db,n,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95
turbid,0.0,1583,15.752173115313994,1.3252981618906976,0.06528737533278212,0.4780095774240307,0.045846819822952724,0.0022585246246213477
turbid,5.0,1583,15.742030206392329,1.3363801774623985,0.06583330207657324,0.4793817270653051,0.04618681554498975,0.0022752736317161013
turbid,10.0,1583,15.746188205326199,1.3260785222690632,0.0653258177621027,0.4778907831266419,0.0460397571747493,0.002268029182663204
turbid,15.0,1583,15.740662989251913,1.3097834051812658,0.06452308109801126,0.47842923420483147,0.04576250928641634,0.002254371284790629
turbid,20.0,1583,15.758259649150219,1.3255524041894997,0.06529989991997665,0.4769128743260252,0.04552019430481536,0.0022424342659314385
turbid,25.0,1583,15.761414564642362,1.329468055479228,0.06549279432123355,0.4785536651888454,0.047400356305230616,0.0023350555686218657
turbid,30.0,1583,15.7765740781966,1.3238279903896695,0.06521495114828445,0.47888480135329675,0.04607276200878331,0.002269655080177693
clear,0.0,2417,15.215533103437823,0.7901574183406684,0.031501509717530116,0.3170913300350968,0.051738768840485776,0.0020626893977965712
clear,5.0,2417,15.217441465719505,0.7644032821253345,0.03047475966314518,0.31726462732773947,0.05160938865676146,0.0020575313482481578
clear,10.0,2417,15.21686940790949,0.7665870196255314,0.030561819566002835,0.3172689003913818,0.05149336017633235,0.0020529055961905195
clear,15.0,2417,15.222639138707455,0.7723855692846521,0.030792992575575995,0.31778407486500104,0.05163319764501333,0.002058480550340516
clear,20.0,2417,15.221905829445804,0.7781467394694321,0.031022675363268238,0.3177900519445508,0.05178366455325542,0.002064479272445927
clear,25.0,2417,15.214919112761454,0.7635131502562946,0.030439272433548166,0.3170454014812465,0.0512124984531131,0.002041708373842277
clear,30.0,2417,15.256962083714729,0.7812665751178092,0.03114705505105353,0.3184026602037593,0.05156815983862612,0.0020558876630975965
